Model,Average Latency (s),Average FPS,AP,AP50,AP75,AP_small,AP_medium,AP_large,start_time,end_time,average_ambient_temp
FasterRCNN,1.763,0.57,0.155,0.221,0.176,0.008,0.117,0.332,2024-04-21 07:23:39.804024,2024-04-21 10:02:13.601223,71.2817968488077
FasterRCNN,1.175,0.85,0.155,0.221,0.176,0.008,0.117,0.332,2024-04-21 10:04:25.150276,2024-04-21 11:49:32.496759,71.47417563930095
FasterRCNN,0.987,1.01,0.155,0.221,0.176,0.008,0.117,0.332,2024-04-21 11:51:43.617504,2024-04-21 13:19:28.433408,71.16684782608552
FasterRCNN,0.965,1.04,0.155,0.221,0.176,0.008,0.117,0.332,2024-04-21 13:21:39.390158,2024-04-21 14:47:01.322454,72.01831509394694
