Timestamp,SoC Temperature (C)
1713714708.2659826,56.965
1713714709.3133662,58.426
1713714710.3626165,58.426
1713714711.4085908,59.887
1713714712.4534905,59.4
1713714713.4952056,59.887
1713714714.538374,60.374
1713714715.581311,61.835
1713714716.6252286,61.348
1713714717.672141,61.835
1713714718.722491,61.835
1713714719.7669277,60.861
1713714720.811883,61.348
1713714721.8562555,62.322
1713714722.9074447,62.809
1713714723.9579623,62.322
1713714725.0038235,62.809
1713714726.0512364,63.296
1713714727.0949326,63.296
1713714728.1432865,63.296
1713714729.1886334,64.27
1713714730.2287357,63.296
1713714731.2721665,64.27
1713714732.3163915,63.296
1713714733.3628788,64.27
1713714734.4047449,64.27
1713714735.449115,63.783
1713714736.4923255,64.27
1713714737.5404515,63.783
1713714738.5866044,64.27
1713714739.630882,65.244
1713714740.6772008,63.783
1713714741.7254786,63.783
1713714742.7707014,63.783
1713714743.8152902,63.783
1713714744.8627481,64.757
1713714745.9053276,65.244
1713714746.9467719,64.757
1713714747.9881356,65.244
1713714749.030529,65.731
1713714750.073885,66.218
1713714751.1145766,65.244
1713714752.1593847,65.731
1713714753.2023268,66.218
1713714754.2427907,65.731
1713714755.2829514,65.731
1713714756.327764,66.218
1713714757.368982,66.705
1713714758.4076114,67.679
1713714759.4500804,65.731
1713714760.4927652,66.705
1713714761.5310771,66.218
1713714762.5770183,66.705
1713714763.615312,67.192
1713714764.6508925,66.218
1713714765.6963232,66.218
1713714766.7410438,66.705
1713714767.7803612,67.192
1713714768.8252134,66.218
1713714769.8679597,67.192
1713714770.915168,66.705
1713714771.9588873,67.192
1713714773.0010448,67.679
1713714774.0485628,67.679
1713714775.092713,67.192
1713714776.1381319,68.166
1713714777.188054,66.218
1713714778.2281506,67.192
1713714779.2754948,68.653
1713714780.3182821,67.679
1713714781.3620286,67.679
1713714782.4039583,67.192
1713714783.4467294,67.679
1713714784.4883003,69.627
1713714785.5326684,68.166
1713714786.5760663,67.679
1713714787.6189678,67.679
1713714788.6613824,68.653
1713714789.7124815,67.192
1713714790.7518024,67.679
1713714791.795029,68.166
1713714792.8365188,68.653
1713714793.8751764,69.14
1713714794.9174075,69.14
1713714795.95721,67.679
1713714797.0000324,68.653
1713714798.0492363,68.166
1713714799.0974758,68.166
1713714800.1470306,68.653
1713714801.1929693,67.679
1713714802.2406807,68.166
1713714803.2862587,68.653
1713714804.3331137,68.166
1713714805.3806605,67.679
1713714806.4239254,69.14
1713714807.475536,68.653
1713714808.5240102,68.166
1713714809.5683715,69.14
1713714810.6142125,69.627
1713714811.6609666,69.627
1713714812.7078195,69.14
1713714813.7515013,67.679
1713714814.7983012,68.653
1713714815.8405983,70.114
1713714816.884803,68.653
1713714817.9348316,69.14
1713714818.9757087,69.627
1713714820.0217671,69.627
1713714821.0625944,69.14
1713714822.1025836,70.114
1713714823.1474106,70.601
1713714824.18952,68.653
1713714825.2341273,69.14
1713714826.2796042,70.114
1713714827.3251152,70.114
1713714828.3631885,69.627
1713714829.4052649,70.601
1713714830.4449725,69.627
1713714831.4870605,70.114
1713714832.5246634,70.601
1713714833.5652688,69.627
1713714834.6060843,70.114
1713714835.642953,70.601
1713714836.6806145,69.627
1713714837.7230265,69.627
1713714838.7652314,70.601
1713714839.803691,70.114
1713714840.845885,70.114
1713714841.8843682,71.088
1713714842.9254122,70.114
1713714843.9666345,70.601
1713714845.0064034,69.627
1713714846.0463579,70.114
1713714847.0928762,70.601
1713714848.1330101,69.627
1713714849.1798413,70.601
1713714850.2234747,69.627
1713714851.2658367,71.088
1713714852.3076031,71.088
1713714853.3450954,71.575
1713714854.3963802,70.114
1713714855.4414842,70.601
1713714856.4902353,70.114
1713714857.5390148,70.114
1713714858.5915825,70.601
1713714859.649433,71.575
1713714860.6943204,71.088
1713714861.7400572,70.601
1713714862.7955325,71.088
1713714863.8432646,69.627
1713714864.891674,70.114
1713714865.942061,71.088
1713714866.9874318,71.575
1713714868.029702,71.088
1713714869.0760128,70.114
1713714870.1228411,70.114
1713714871.1754756,70.601
1713714872.218645,70.601
1713714873.2672007,70.114
1713714874.3177793,71.088
1713714875.3645127,71.575
1713714876.4098456,71.088
1713714877.4518623,71.088
1713714878.492723,71.575
1713714879.534871,72.062
1713714880.575718,72.062
1713714881.6216288,70.601
1713714882.6630533,71.575
1713714883.7060897,71.575
1713714884.7442145,72.062
1713714885.7927155,70.601
1713714886.835019,71.575
1713714887.885379,71.575
1713714888.9252005,70.601
1713714889.966645,71.575
1713714891.0161986,71.575
1713714892.0600238,72.062
1713714893.109386,70.601
1713714894.1487055,73.036
1713714895.191472,71.575
1713714896.2316835,72.549
1713714897.2716603,73.036
1713714898.3113399,71.575
1713714899.3633177,72.062
1713714900.4121864,71.088
1713714901.4577487,70.601
1713714902.5023575,71.088
1713714903.556495,72.549
1713714904.6077874,72.549
1713714905.6542063,72.549
1713714906.6998005,72.062
1713714907.7470808,72.062
1713714908.7972314,71.575
1713714909.8438137,71.575
1713714910.8882535,72.062
1713714911.9316514,72.062
1713714912.9688506,73.036
1713714914.0107188,72.062
