Timestamp,SoC Temperature (C)
1713637950.6455798,53.069
1713637951.6878014,54.53
1713637952.7336168,54.53
1713637953.7783916,55.017
1713637954.8204079,54.53
1713637955.864153,55.504
1713637956.914677,54.53
1713637957.9569986,57.452
1713637959.0000038,56.965
1713637960.0433695,56.478
1713637961.0886142,57.452
1713637962.1268144,57.452
1713637963.1743855,56.965
1713637964.2170234,57.939
1713637965.2586744,57.452
1713637966.2962666,57.452
1713637967.3416953,57.452
1713637968.3851433,55.991
1713637969.426818,57.452
1713637970.4715292,59.4
1713637971.5215375,57.939
1713637972.561421,57.452
1713637973.602835,58.913
1713637974.6456547,57.452
1713637975.6964343,57.939
1713637976.7844648,58.426
1713637977.8252673,58.426
1713637978.8680625,58.426
1713637979.911138,58.426
1713637980.9545374,59.4
1713637981.9953265,58.426
1713637983.0429912,57.939
1713637984.0880775,59.4
1713637985.13337,59.4
1713637986.1805274,59.4
1713637987.220381,59.4
1713637988.262808,58.913
1713637989.3087997,59.4
1713637990.3539581,60.374
1713637991.3966649,59.887
1713637992.442055,58.913
1713637993.4871402,60.374
1713637994.5282714,59.887
1713637995.5729356,60.374
1713637996.6306775,59.887
1713637997.6730988,59.887
1713637998.7142906,59.887
1713637999.758083,59.887
1713638000.8046594,60.374
1713638001.8427126,60.374
1713638002.8898275,59.887
1713638003.928681,61.348
1713638004.9720123,59.887
1713638006.0199606,60.374
1713638007.0582328,60.861
1713638008.1000304,60.861
1713638009.144595,61.835
1713638010.1896136,61.348
1713638011.234663,60.861
1713638012.2815802,61.348
1713638013.3275435,59.887
1713638014.3697026,60.861
1713638015.4170146,59.887
1713638016.4668918,61.348
1713638017.5084214,61.835
1713638018.5519795,61.348
1713638019.5937588,61.835
1713638020.657305,62.322
1713638021.695624,60.861
1713638022.741119,61.835
1713638023.7852256,61.835
1713638024.8256345,62.322
1713638025.8787632,61.835
1713638026.9180439,61.835
1713638027.961974,61.835
1713638029.006947,62.322
1713638030.0571182,62.322
1713638031.1024997,60.861
1713638032.1470222,61.835
1713638033.1918104,62.322
1713638034.234014,62.322
1713638035.2807376,62.322
1713638036.3206103,62.322
1713638037.368661,62.809
1713638038.4080415,61.348
1713638039.4528167,62.322
1713638040.4968755,62.322
1713638041.5405023,62.809
1713638042.5857317,62.322
1713638043.6287265,62.322
1713638044.6750755,62.809
1713638045.7205029,62.809
1713638046.7647796,62.809
1713638047.8107288,63.296
1713638048.8549855,61.835
1713638049.898921,61.835
1713638050.9412022,62.322
1713638051.9901536,62.809
1713638053.0333445,61.835
1713638054.0820398,63.296
1713638055.124358,62.809
1713638056.1739979,62.322
1713638057.2206025,63.783
1713638058.2638214,63.783
1713638059.3074472,63.783
1713638060.35264,62.809
1713638061.3914406,63.296
1713638062.437676,63.296
1713638063.4850557,63.296
1713638064.5291176,63.296
1713638065.5732312,62.809
1713638066.6165586,63.296
1713638067.6581728,63.783
1713638068.704815,63.296
1713638069.7467701,63.296
1713638070.7889898,63.783
1713638071.8334453,62.809
1713638072.889918,64.27
1713638073.932176,63.783
1713638074.9796507,63.783
1713638076.0237052,64.27
1713638077.066356,64.757
1713638078.1085877,64.27
1713638079.1576574,64.757
1713638080.2025223,63.783
1713638081.2483168,63.783
1713638082.2907078,63.296
1713638083.3333843,64.757
1713638084.3781848,64.757
1713638085.4301717,63.296
1713638086.4695356,64.27
1713638087.5165977,63.783
1713638088.559484,64.27
1713638089.601917,63.783
1713638090.6465719,64.27
1713638091.6904647,63.783
1713638092.8044488,64.27
1713638093.8495736,63.783
1713638094.8884413,63.783
1713638095.9337604,63.783
1713638096.9754407,63.783
1713638098.0194592,64.757
1713638099.0651133,64.27
1713638100.1109526,64.27
1713638101.1520083,64.757
1713638102.2014642,63.783
1713638103.2445939,64.757
1713638104.2897236,64.27
1713638105.3365726,64.757
1713638106.3803596,64.757
1713638107.4225523,64.757
1713638108.473717,64.27
1713638109.518943,65.244
1713638110.5627995,65.731
1713638111.6077762,64.27
1713638112.6544538,64.757
1713638113.7028697,64.757
1713638114.7415984,64.27
1713638115.790116,64.757
1713638116.8316247,64.757
1713638117.8757293,65.244
1713638118.9173048,65.244
1713638119.9608018,64.757
1713638121.0027049,66.705
1713638122.045801,64.27
1713638123.0897622,64.757
1713638124.1298666,64.757
1713638125.1707344,64.757
1713638126.2146895,66.218
1713638127.2805035,65.731
1713638128.3192248,64.757
1713638129.3668284,65.244
1713638130.405159,65.731
1713638131.4494803,66.218
1713638132.4938028,65.244
1713638133.538444,65.731
1713638134.5830164,64.757
1713638135.625545,65.731
1713638136.6669307,65.731
1713638137.709245,65.731
1713638138.7538505,65.244
1713638139.7965233,65.244
1713638140.8410301,65.244
1713638141.8848383,65.731
1713638142.9285338,65.244
1713638143.9741209,65.244
1713638145.0199935,65.731
1713638146.0663257,64.757
1713638147.1076102,65.731
1713638148.1515708,66.218
1713638149.1947577,65.731
1713638150.237844,65.731
1713638151.2875118,66.705
1713638152.331791,65.731
1713638153.3771634,65.244
1713638154.430003,66.218
1713638155.4733188,65.731
1713638156.518406,65.244
1713638157.560733,65.731
1713638158.6034906,66.218
1713638159.6472445,65.731
1713638160.6909106,65.244
1713638161.7300606,65.244
1713638162.772597,65.731
1713638163.8204217,66.705
1713638164.865228,66.218
1713638165.9079747,67.192
1713638166.9521694,65.731
1713638168.000485,66.705
1713638169.042022,66.218
1713638170.0884595,66.218
1713638171.1288207,65.731
1713638172.1726823,66.218
1713638173.2169971,66.705
1713638174.2658346,66.218
1713638175.3133886,65.731
1713638176.3568437,65.731
1713638177.4015746,66.705
1713638178.4435558,65.731
1713638179.4855545,66.705
1713638180.5298188,66.218
1713638181.5753908,66.705
1713638182.6208446,65.731
1713638183.6599157,65.731
1713638184.7112162,66.705
1713638185.754502,66.705
1713638186.7966924,67.192
1713638187.8386645,66.218
1713638188.8851495,66.705
1713638189.9282928,65.731
1713638190.976983,65.731
1713638192.0209184,66.218
1713638193.0667944,65.731
1713638194.1147816,65.731
1713638195.1572402,66.218
1713638196.197589,66.218
1713638197.2496595,66.705
1713638198.2883334,67.192
1713638199.3314185,67.679
1713638200.3773253,67.192
1713638201.4172835,66.218
1713638202.4625757,66.218
1713638203.5114963,66.218
1713638204.5535395,66.705
1713638205.5930233,66.705
1713638206.6383429,66.218
1713638207.7016802,66.705
1713638208.7460308,66.218
1713638209.7891016,67.192
1713638210.8269382,66.705
1713638211.8983998,66.705
1713638212.9367158,66.705
1713638213.982944,67.192
1713638215.0261223,66.218
1713638216.073431,66.705
1713638217.1186328,67.192
1713638218.1569717,66.218
1713638219.201785,66.705
1713638220.2446425,67.192
1713638221.2882552,66.705
1713638222.327123,67.679
1713638223.3760834,66.218
1713638224.414496,66.705
1713638225.4583848,66.218
1713638226.5004146,67.192
1713638227.5418775,67.192
1713638228.5874279,66.705
1713638229.6335654,66.705
1713638230.67928,66.705
1713638231.726203,66.218
1713638232.7649984,67.192
1713638233.8083508,67.679
1713638234.853322,67.192
1713638235.898099,65.731
1713638236.9496975,67.192
1713638237.994194,67.192
1713638239.0348248,67.192
1713638240.0845993,67.192
1713638241.132073,66.705
1713638242.1701405,66.705
1713638243.2080266,66.705
1713638244.2516947,66.218
1713638245.2915897,66.705
1713638246.3491182,66.218
1713638247.3888397,67.192
1713638248.4264674,66.705
1713638249.4715292,66.705
1713638250.513154,66.705
1713638251.5567603,66.705
1713638252.600181,66.705
1713638253.6425076,67.679
1713638254.6862535,67.192
1713638255.731965,67.192
1713638256.7951596,66.705
1713638257.8354473,68.166
1713638258.8793147,67.679
1713638259.926634,67.679
1713638260.968512,67.192
1713638262.0096095,67.192
1713638263.0544703,66.218
1713638264.1000805,66.218
1713638265.1395824,67.679
1713638266.1885962,67.679
1713638267.2282,67.192
1713638268.2743523,67.192
1713638269.3205621,67.192
1713638270.3591263,67.679
1713638271.4025493,67.192
1713638272.4475412,67.192
1713638273.490859,67.679
1713638274.5335114,66.218
1713638275.5743268,66.705
1713638276.623228,67.679
1713638277.6701863,68.166
1713638278.7122276,66.705
1713638279.7589872,67.679
1713638280.8085816,66.705
1713638281.8491552,67.192
1713638282.8951147,67.679
1713638283.937533,66.705
1713638284.9823885,67.679
1713638286.0280113,67.679
1713638287.071476,68.166
1713638288.1149025,67.192
1713638289.1587481,67.679
1713638290.2067385,67.679
1713638291.252608,67.679
1713638292.2939935,67.192
1713638293.3365762,67.679
1713638294.3810427,68.166
1713638295.4272957,67.679
1713638296.4731638,68.166
1713638297.5151353,68.166
1713638298.5604608,66.705
1713638299.6037781,67.679
1713638300.6531842,67.192
1713638301.6948187,67.679
1713638302.7382667,67.679
1713638303.7819445,68.166
1713638304.8237069,67.679
1713638305.8636992,67.679
1713638306.90374,68.653
1713638307.9463232,67.679
1713638308.990478,66.705
1713638310.0359125,67.679
1713638311.08013,67.679
1713638312.1272388,67.679
1713638313.1725898,67.679
1713638314.2128074,67.192
1713638315.2593486,67.679
1713638316.3056126,68.653
1713638317.3525102,68.166
1713638318.395215,68.166
1713638319.4423726,67.679
1713638320.4865088,66.705
1713638321.5269763,68.653
1713638322.5762155,66.705
1713638323.6177268,68.166
1713638324.6613908,68.166
1713638325.7104785,66.705
1713638326.7521706,68.166
1713638327.7936804,68.653
1713638328.8395073,67.679
1713638329.8788087,68.166
1713638330.9222744,68.166
1713638331.9663107,68.653
1713638333.0113826,67.192
1713638334.0522947,67.192
1713638335.0953405,69.14
1713638336.1465578,68.653
1713638337.1954777,68.166
1713638338.234337,67.679
1713638339.2814782,68.653
1713638340.328942,67.679
1713638341.366711,68.166
1713638342.4098887,67.679
1713638343.4539196,67.679
1713638344.496581,68.653
1713638345.5465262,67.192
1713638346.5950181,68.653
1713638347.6345062,68.653
1713638348.6785858,68.166
1713638349.719725,68.166
1713638350.7624946,68.166
1713638351.8100243,67.679
1713638352.8569682,67.192
1713638353.895825,67.679
1713638354.9371045,68.653
1713638355.9841015,67.679
1713638357.0280786,66.705
1713638358.0719945,67.679
1713638359.1167016,67.679
1713638360.1576028,68.653
1713638361.2017393,69.14
1713638362.2455401,67.679
1713638363.2947657,69.14
