Timestamp,SoC Temperature (C)
1713645858.646406,57.939
1713645859.6921566,59.4
1713645860.7344983,60.374
1713645861.7767036,60.374
1713645862.8240535,61.348
1713645863.8904996,61.835
1713645864.929051,62.809
1713645865.972588,62.322
1713645867.0138495,63.296
1713645868.0588555,63.296
1713645869.1021621,63.296
1713645870.2266097,64.757
1713645871.2701435,63.783
1713645872.313652,63.783
1713645873.3566387,63.783
1713645874.396829,63.296
1713645875.4456177,63.783
1713645876.4921172,63.296
1713645877.534697,63.783
1713645878.5795124,63.783
1713645879.6200829,64.757
1713645880.6634436,64.27
1713645881.7091155,63.783
1713645882.7540026,65.244
1713645883.796315,64.757
1713645884.8401368,66.218
1713645885.8842852,64.27
1713645886.925212,65.244
1713645887.9678264,64.757
1713645889.0131476,65.244
1713645890.0545216,66.218
1713645891.0956383,66.218
1713645892.1440725,64.757
1713645893.1826236,66.218
1713645894.2285929,66.218
1713645895.274928,66.705
1713645896.3178089,65.731
1713645897.3588152,66.705
1713645898.4038215,66.218
1713645899.4469001,66.218
1713645900.496419,67.192
1713645901.5468261,66.218
1713645902.5899386,67.192
1713645903.6329033,67.679
1713645904.674746,66.705
1713645905.7197423,67.192
1713645906.7677388,66.705
1713645907.8144937,67.192
1713645908.857752,67.192
1713645909.9036322,67.679
1713645910.951881,66.218
1713645911.9976876,67.679
1713645913.0449011,67.679
1713645914.0944643,68.166
1713645915.1376326,67.192
1713645916.1781561,67.679
1713645917.2243195,67.679
1713645918.2687235,68.166
1713645919.314813,68.653
1713645920.35605,67.192
1713645921.39997,67.679
1713645922.442008,68.166
1713645923.4897568,68.653
1713645924.5412323,68.653
1713645925.583996,68.166
1713645926.6301658,67.192
1713645927.6733289,67.192
1713645928.7144043,67.679
1713645929.7578714,68.166
1713645930.8061712,68.166
1713645931.8504438,67.679
1713645932.9090617,69.14
1713645933.948001,68.653
1713645934.9912274,68.653
1713645936.0376585,68.166
1713645937.0815187,68.166
1713645938.1260355,69.14
1713645939.1709492,68.653
1713645940.2171512,68.653
1713645941.2641733,69.627
1713645942.3101606,68.166
1713645943.3595445,68.653
1713645944.3978574,69.627
1713645945.4459622,69.627
1713645946.4860573,69.627
1713645947.5346234,68.653
1713645948.5766096,69.627
1713645949.6271734,69.627
1713645950.6712103,69.627
1713645951.7135735,69.14
1713645952.758307,69.627
1713645953.7970135,69.14
1713645954.84092,69.14
1713645955.8938973,69.14
1713645956.9746237,70.114
1713645958.0173395,70.114
1713645959.059064,69.627
1713645960.1010633,69.14
1713645961.1427011,69.14
1713645962.191639,70.114
1713645963.2492998,70.114
1713645964.2950695,69.627
1713645965.33802,70.601
1713645966.3805997,70.114
1713645967.4239886,69.627
1713645968.4710233,69.627
1713645969.5349085,69.627
1713645970.5776763,69.627
1713645971.6224356,70.114
1713645972.6652372,71.088
1713645973.708122,70.601
1713645974.7524424,70.601
1713645975.853437,69.627
1713645976.8947492,71.088
1713645977.9402168,70.114
1713645978.9803724,70.114
1713645980.0218406,70.601
1713645981.0703654,70.601
1713645982.1359477,71.088
1713645983.1749425,70.601
1713645984.2146819,70.114
1713645985.2604969,71.088
1713645986.3057444,70.114
1713645987.3495288,70.601
1713645988.392528,71.575
