Timestamp,SoC Temperature (C)
1713841700.8375962,48.199
1713841701.879959,51.608
1713841702.9450521,50.147
1713841704.00683,49.173
1713841705.051949,50.147
1713841706.1150713,50.634
1713841707.1586719,50.147
1713841708.2195914,50.147
1713841709.2832656,49.66
1713841710.3289468,50.147
1713841711.3985226,50.634
1713841712.4633236,50.634
1713841713.5099664,50.147
1713841714.582611,50.634
1713841715.6458452,50.147
1713841716.6919332,49.66
1713841717.765225,51.121
1713841718.8295221,51.121
1713841719.8754876,50.147
1713841721.4082804,50.634
1713841722.472165,50.147
1713841723.5475802,51.121
1713841724.5937533,50.147
1713841725.6610928,50.634
1713841726.7220511,50.634
1713841727.7643056,51.608
1713841728.8299055,51.121
1713841729.936421,50.147
1713841730.9776027,51.121
1713841732.04469,51.121
1713841733.106734,51.121
1713841734.1519332,51.121
1713841735.219888,51.121
1713841736.2898588,50.634
1713841737.3356287,51.121
1713841738.4065251,50.147
1713841739.4687057,50.147
1713841740.5130322,51.608
1713841741.5808365,51.121
1713841742.6496763,50.634
1713841743.6994677,51.121
1713841744.7684877,50.634
1713841745.8295012,50.634
1713841746.8739967,51.121
1713841747.9499054,51.121
1713841749.0124285,50.634
1713841750.057817,51.121
1713841751.1248295,50.634
1713841752.188509,50.147
1713841753.2336068,51.121
1713841754.2978477,52.095
1713841755.3595672,51.121
1713841756.4039938,50.634
1713841757.472386,51.608
1713841758.537691,51.121
1713841759.582133,52.095
1713841760.6432986,51.121
1713841761.705825,51.121
1713841762.7547069,50.634
1713841763.8206103,50.634
1713841764.881822,50.634
1713841765.9245977,51.608
1713841766.9884062,50.147
1713841768.0502307,51.608
1713841769.0935283,52.095
1713841770.163076,51.121
1713841771.224988,50.634
1713841772.268754,51.608
1713841773.33977,52.582
1713841774.4021087,51.121
1713841775.44567,51.121
1713841776.5072508,51.121
1713841777.569103,51.608
1713841778.6131027,51.121
1713841779.6746192,51.121
1713841780.7381022,50.147
1713841781.7804482,51.608
1713841782.8449833,51.121
1713841783.9072053,50.634
1713841784.9520206,51.121
1713841786.0186243,51.608
1713841787.0809734,51.121
1713841788.1243768,52.582
1713841789.18858,50.634
1713841790.257723,52.095
1713841791.3028874,52.095
1713841792.3694146,52.095
1713841793.4320486,52.095
1713841794.479022,52.095
1713841795.5456975,52.582
1713841796.61021,51.121
1713841797.6512272,51.608
1713841798.7137086,51.608
1713841799.7768407,50.634
1713841800.8217726,52.095
1713841801.8856637,51.608
1713841802.949554,51.121
1713841803.9938805,51.608
1713841805.0567718,50.634
1713841806.1189008,51.121
1713841807.1614707,51.608
1713841808.2256935,52.095
1713841809.2971294,52.095
1713841810.3424933,51.608
1713841811.411915,51.608
1713841812.477672,52.095
1713841813.522222,52.095
1713841814.5931063,53.069
1713841815.654609,51.608
1713841816.701232,51.608
1713841817.7685711,52.095
1713841818.8316262,51.608
