Timestamp,SoC Temperature (C)
1713868401.2410986,55.017
1713868402.2947245,55.991
1713868403.3333738,57.452
1713868404.375968,58.426
1713868405.431971,56.478
1713868406.486229,57.939
1713868407.5310452,57.939
1713868408.5877447,57.452
1713868409.6426182,57.452
1713868410.6840267,59.887
1713868411.7290657,55.991
1713868412.7824535,57.939
1713868413.8239024,57.939
1713868414.8643062,57.939
1713868415.9217184,57.939
1713868416.9659014,59.887
1713868418.0200746,57.452
1713868419.0808702,57.939
1713868420.124484,59.887
1713868421.181357,58.426
1713868422.2360919,57.939
1713868423.277834,60.861
1713868424.3266227,57.939
1713868425.3827329,58.913
1713868426.4215147,59.887
1713868427.4765744,57.939
1713868428.5158663,59.4
1713868429.5646973,58.426
1713868430.6181068,59.4
1713868431.6558628,58.913
1713868432.7089236,59.887
1713868433.7664647,58.913
1713868434.802905,59.4
1713868435.8409734,59.4
1713868436.900973,59.4
1713868437.956439,59.4
1713868439.0003412,60.374
1713868440.0471268,60.374
1713868441.100905,59.887
1713868442.1601074,61.348
1713868443.2076437,60.374
1713868444.262347,59.4
1713868445.3175566,60.861
1713868446.366948,59.887
1713868447.4240267,59.887
1713868448.499392,60.374
1713868449.543773,59.887
1713868450.5967546,59.887
1713868451.6513789,60.861
1713868452.6963744,61.348
1713868453.7538216,59.4
1713868454.8116348,61.348
1713868455.8566158,60.861
1713868456.9146144,59.4
1713868457.9722943,62.322
1713868459.0157342,61.348
1713868460.0691023,60.861
1713868461.123341,61.348
1713868462.1686103,61.348
1713868463.224137,60.861
1713868464.2819626,62.322
1713868465.3264785,62.809
1713868466.3845417,60.861
1713868467.438012,60.374
1713868468.4841638,60.374
1713868469.5384398,60.374
1713868470.5968642,60.861
1713868471.6377697,61.348
1713868472.6916738,60.861
1713868473.7458332,61.348
1713868474.787405,61.348
1713868475.8421738,60.374
1713868476.8978279,61.835
1713868477.9461913,61.348
1713868479.0003042,61.835
1713868480.0581553,62.809
1713868481.1036816,62.809
1713868482.1654897,61.348
1713868483.2177374,62.322
1713868484.2645164,61.835
1713868485.679169,61.348
1713868486.7517486,61.835
1713868487.7985992,62.322
1713868488.8531225,61.835
1713868489.9127996,62.809
1713868490.9595559,61.835
1713868492.0157685,61.348
1713868493.070377,62.322
1713868494.116982,62.322
1713868495.1724942,61.835
1713868496.2321043,62.809
1713868497.274438,62.322
1713868498.329445,62.809
1713868499.3844569,62.322
1713868500.4296463,62.322
1713868501.4844651,62.322
1713868502.5399191,62.809
1713868503.580142,62.322
1713868504.6235304,62.322
1713868505.6888785,62.322
1713868506.7428641,61.348
1713868507.781604,62.809
1713868508.836292,63.296
1713868509.891808,61.835
1713868510.9499142,63.296
1713868511.99606,62.322
1713868513.0496447,61.835
1713868514.1077206,62.809
1713868515.1533337,62.809
1713868516.2105618,61.348
1713868517.2663054,63.783
1713868518.31157,62.322
1713868519.3693662,61.348
1713868520.428583,63.783
1713868521.4746568,64.27
1713868522.5273912,61.835
1713868523.58387,62.809
1713868524.632638,63.296
1713868525.686693,61.348
1713868526.7426748,61.835
1713868527.7836657,63.296
1713868528.839515,62.809
1713868529.8926163,62.322
1713868530.937053,62.809
1713868531.9913504,61.835
1713868533.0454438,62.322
1713868534.0906475,63.296
1713868535.145273,61.835
1713868536.1991267,63.296
1713868537.245129,63.783
1713868538.298662,62.322
1713868539.352237,62.809
1713868540.4072967,62.322
1713868541.4637275,63.783
1713868542.4994779,61.348
1713868543.5390387,63.783
1713868544.5906777,62.809
1713868545.6463382,61.348
1713868546.6840389,63.296
1713868547.7310102,62.322
1713868548.784562,62.809
1713868549.8280244,63.783
1713868550.8862312,63.296
1713868551.9402347,63.783
1713868552.98405,62.809
1713868554.036486,62.809
1713868555.0897608,62.809
1713868556.1327972,63.296
1713868557.1881785,62.322
1713868558.242173,63.783
1713868559.2856398,64.27
1713868560.3449047,62.809
1713868561.399785,62.809
1713868562.4446514,64.27
1713868563.50032,62.809
1713868564.5548573,63.783
1713868565.5980294,63.296
1713868566.651268,63.296
1713868567.7057753,62.809
1713868568.7509532,63.296
1713868569.8052406,63.783
1713868570.8591716,62.322
1713868571.9002438,63.783
1713868572.939445,62.322
1713868573.9920638,63.296
1713868575.0329845,63.783
1713868576.086532,63.783
1713868577.1422122,64.757
1713868578.1859262,63.296
1713868579.246517,64.757
1713868580.3037868,64.757
1713868581.3490698,64.27
1713868582.4064686,63.783
1713868583.4613447,65.244
1713868584.507053,63.296
1713868585.5655913,63.783
1713868586.618262,63.783
1713868587.6640487,63.783
1713868588.7234354,64.27
1713868590.2898839,62.809
1713868591.3344202,62.809
1713868592.3884366,62.809
1713868593.4282465,64.757
1713868594.4773016,63.783
1713868595.5351992,62.809
1713868596.5731394,64.27
1713868597.6201608,63.783
1713868598.674491,63.296
1713868599.716705,64.757
1713868600.775716,63.296
1713868601.8323843,62.809
1713868602.8760307,64.757
1713868603.925921,61.835
1713868604.9799478,63.296
1713868606.0258079,63.783
1713868607.0784075,62.809
1713868608.1341927,63.783
1713868609.177291,64.27
1713868610.2320273,63.783
1713868611.285026,63.296
1713868612.3301249,64.757
1713868613.3867643,63.296
1713868614.444917,63.783
1713868615.4872932,64.757
1713868616.544672,63.296
1713868617.6032028,63.783
1713868618.6481256,63.783
1713868619.7030058,64.27
1713868620.7569442,63.783
1713868621.8026347,64.757
1713868622.8623967,64.27
1713868623.917838,64.757
1713868624.9647248,65.244
1713868626.0198743,62.809
1713868627.0730524,64.27
1713868628.1209261,64.27
1713868629.1762164,63.783
1713868630.2312233,64.757
1713868631.2777975,64.27
1713868632.3311188,63.783
1713868633.3877735,63.783
1713868634.4311295,64.757
1713868635.484973,63.296
1713868636.539106,64.757
1713868637.5822513,64.27
1713868639.0304632,63.783
1713868640.0729408,64.757
1713868641.1201284,64.27
1713868642.176091,63.296
1713868643.2134397,65.244
1713868644.2602262,63.783
1713868645.3145869,64.757
1713868646.3535435,65.731
1713868647.3997276,64.27
1713868648.460645,63.296
1713868649.5029933,65.244
1713868650.5596142,63.783
1713868651.6132948,63.783
1713868652.6522343,65.244
1713868653.6997623,64.757
1713868654.7546985,64.27
1713868655.7923374,65.731
1713868656.9135876,64.757
1713868657.9669635,63.783
1713868659.006687,65.731
1713868660.0605075,63.783
1713868661.1147015,63.783
1713868662.1554055,65.731
1713868663.2083607,64.757
1713868664.2613535,64.27
1713868665.298648,65.244
1713868666.344716,64.27
1713868667.4015646,63.783
1713868668.4416165,65.244
1713868669.4890585,64.757
1713868670.5441315,64.27
1713868671.6059706,65.731
1713868672.6441884,62.809
1713868673.6992877,65.244
1713868674.743481,65.244
1713868675.8020658,64.27
1713868676.8567166,64.27
1713868677.901001,64.27
1713868678.9570382,63.783
1713868680.0107021,63.296
1713868681.0521338,64.757
1713868682.1091948,63.783
1713868683.162826,64.757
1713868684.2051108,65.244
1713868685.2580621,64.27
1713868686.3120697,64.757
1713868687.3604965,65.731
1713868688.4152317,64.27
1713868689.4728525,65.731
1713868690.5163636,64.27
1713868691.5696676,64.27
1713868692.62399,64.757
1713868693.6701477,64.757
1713868694.7284217,63.296
1713868695.7757335,64.27
1713868696.8332222,63.783
1713868697.8870943,64.27
1713868698.9322321,65.731
1713868699.990155,64.27
1713868701.047617,64.27
