Timestamp,SoC Temperature (C)
1713876495.4499917,59.4
1713876496.4969764,60.861
1713876497.5412116,62.809
1713876498.5843515,63.783
1713876499.6215303,63.296
1713876500.6686196,63.296
1713876501.7185783,62.809
1713876502.767599,64.27
1713876503.8118775,64.27
1713876504.8607497,64.757
1713876505.9042287,65.244
1713876506.9574327,65.244
1713876508.0036852,63.783
1713876509.0481129,64.27
1713876510.100029,68.166
1713876511.1439462,66.705
1713876512.1891186,66.705
1713876513.2343729,64.757
1713876514.2811363,65.731
1713876515.3304298,66.218
1713876516.3735976,67.192
1713876517.4203103,66.705
1713876518.470282,64.757
1713876519.5189536,66.218
1713876520.5690515,67.679
1713876521.6068912,69.627
1713876522.652052,67.192
1713876523.6972682,65.244
1713876524.7417843,66.705
1713876525.7884226,67.192
1713876526.8319373,67.679
1713876527.879673,68.166
1713876528.9291618,65.731
1713876529.972644,67.192
1713876531.0144844,67.679
1713876532.059353,67.679
1713876533.1158905,67.192
1713876534.1597934,67.192
1713876535.2045126,68.166
1713876536.2531686,69.627
1713876537.294881,68.653
1713876538.3413136,67.679
1713876539.385651,67.679
1713876540.4299433,68.653
1713876541.4742436,70.601
1713876542.5156443,68.653
1713876543.9156716,67.679
1713876544.9595954,68.166
1713876546.0071926,70.601
1713876547.0491319,69.627
1713876548.097897,69.14
1713876549.1416142,68.166
1713876550.1853516,67.679
1713876551.2332866,70.114
1713876552.2806654,69.14
1713876553.3248549,69.627
1713876554.3719475,69.14
1713876555.4161227,69.14
1713876556.467156,70.601
1713876557.5074713,70.601
1713876558.5567293,69.14
1713876559.6087995,69.627
1713876560.6619728,71.088
1713876561.7007098,70.601
1713876562.7448797,69.627
1713876563.7895696,69.14
1713876564.8335476,69.14
1713876565.8784246,70.114
1713876566.9199216,70.601
1713876567.9713488,70.601
1713876569.0157428,68.653
1713876570.0621543,70.114
1713876571.1080415,70.601
1713876572.1499977,70.601
1713876573.1916573,70.601
1713876574.2412841,69.627
1713876575.2847915,70.114
1713876576.3295562,70.114
1713876577.3709905,72.062
1713876578.4145985,71.575
1713876579.461814,70.601
1713876580.5090432,70.601
1713876581.553595,70.601
1713876582.5939705,72.549
1713876583.6372437,71.575
1713876584.679273,70.601
1713876585.7274358,69.627
1713876586.775977,70.601
1713876587.8277774,71.575
1713876588.8731751,69.14
1713876589.9223275,71.088
1713876590.960306,72.549
1713876592.0116272,71.088
1713876593.0595722,71.088
1713876594.1071002,73.523
1713876595.1505864,72.062
1713876596.1985385,70.601
1713876597.2422056,71.088
1713876598.2864008,71.088
1713876599.335399,72.549
1713876600.3770766,72.062
1713876601.4250958,72.062
1713876602.4701376,70.601
1713876603.5138967,71.088
1713876604.5626464,73.523
1713876605.6032898,73.523
1713876606.6525567,72.062
1713876607.6987257,70.114
1713876608.7451255,72.549
1713876609.7955282,74.01
1713876610.837464,73.036
1713876611.8848028,72.549
1713876612.9312267,71.575
1713876613.975085,72.549
1713876615.0195937,74.01
1713876616.0614772,73.523
1713876617.1249864,71.575
1713876618.1683404,72.062
1713876619.2157485,73.523
1713876620.2541118,74.01
1713876621.2967591,72.549
1713876622.3427515,71.575
1713876623.386597,71.575
1713876624.4351938,73.523
1713876625.4769971,73.036
1713876626.5203068,73.036
1713876627.5652988,72.062
1713876628.6203327,74.497
1713876629.6613066,73.523
1713876630.7114608,72.549
1713876631.7548878,72.062
1713876632.8012629,72.549
1713876634.4060075,73.036
1713876635.4477851,72.549
1713876636.4990487,72.062
1713876637.545113,72.062
1713876638.5903761,72.062
1713876639.6426404,74.497
1713876640.6840258,74.01
1713876641.731864,73.036
1713876642.7777534,71.575
1713876643.8218057,73.523
1713876644.8781087,74.984
1713876645.9217567,74.984
1713876646.971367,73.036
1713876648.0191689,72.549
1713876649.0671127,73.523
1713876650.1159608,74.497
1713876651.160532,74.01
1713876652.2106175,73.523
1713876653.2608323,74.497
1713876654.306185,74.984
