Model,Average Latency (s),Average FPS,AP,AP50,AP75,AP_small,AP_medium,AP_large,start_time,end_time,average_ambient_temp
SSDlite,1.099,0.91,0.166,0.242,0.185,0.001,0.114,0.384,2024-04-22 23:08:10.381671,2024-04-23 03:36:36.278866,71.48174813149015
SSDlite,0.750,1.33,0.166,0.242,0.185,0.001,0.114,0.384,2024-04-23 03:38:47.303901,2024-04-23 06:31:05.562814,71.17254344070793
SSDlite,0.615,1.62,0.166,0.242,0.185,0.001,0.114,0.384,2024-04-23 06:33:16.340790,2024-04-23 08:46:00.355295,71.29057279235984
SSDlite,0.561,1.78,0.166,0.242,0.185,0.001,0.114,0.384,2024-04-23 08:48:11.028244,2024-04-23 10:41:32.995484,71.12120556414439
