Timestamp,SoC Temperature (C)
1713660043.4355617,46.738
1713660044.481622,46.251
1713660045.5238328,47.712
1713660046.579097,47.225
1713660047.6226876,47.225
1713660048.675839,48.199
1713660049.7208157,48.199
1713660050.765303,47.712
1713660051.816112,49.173
1713660052.8605444,48.199
1713660053.9088407,48.199
1713660054.9552374,49.173
1713660055.9939866,48.686
1713660057.0434825,48.686
1713660058.0894263,48.686
1713660059.1359859,49.173
1713660060.184104,48.686
1713660061.2271063,48.686
1713660062.2764919,48.199
1713660063.3194542,50.147
1713660064.3621993,49.66
1713660065.4184327,49.66
1713660066.4573874,49.66
1713660067.500192,49.66
1713660068.552389,49.66
1713660069.5951443,51.121
1713660070.639126,49.66
1713660071.6905556,50.147
1713660072.730314,50.634
1713660073.7772264,50.634
1713660074.8295863,50.634
1713660075.8736112,50.634
1713660076.921484,50.634
1713660077.9633439,50.634
1713660079.0082965,50.634
1713660080.0603056,50.634
1713660081.1044283,50.634
1713660082.1487124,51.121
1713660083.1973786,49.66
1713660084.2408812,51.608
1713660085.2904346,50.147
1713660086.33942,50.634
1713660087.3856854,51.608
1713660088.4355862,51.121
1713660089.4811761,51.121
1713660090.5260563,50.634
1713660091.5744839,52.095
1713660092.6194901,51.121
1713660093.665085,51.608
1713660094.7190711,51.608
1713660095.7583551,51.121
1713660096.8119278,51.608
1713660097.8550193,52.095
1713660098.9009426,52.095
1713660099.9451408,51.608
1713660100.9899676,51.608
1713660102.0384815,52.582
1713660103.0867038,52.095
1713660104.1339777,50.634
1713660105.1823118,52.095
1713660106.2251444,52.095
1713660107.2687688,52.095
1713660108.3196278,52.095
1713660109.3613462,52.582
1713660110.4031885,51.121
1713660111.44979,52.582
1713660112.4961493,52.582
1713660113.5403516,52.095
1713660114.6137452,53.069
1713660115.6577618,52.095
1713660116.7028008,52.095
1713660117.740391,52.582
1713660118.7852705,53.069
1713660119.8349712,51.608
1713660120.8757582,52.582
1713660121.9190915,51.608
1713660123.0448804,51.608
1713660124.083798,52.095
1713660125.1257312,52.095
1713660126.1663628,52.095
1713660127.2127204,52.095
1713660128.2667189,53.556
1713660129.305826,53.069
1713660130.3452091,52.095
1713660131.3959105,52.582
1713660132.4458203,52.582
1713660133.4850411,53.069
1713660134.728796,52.095
1713660135.767209,53.556
1713660136.8114789,52.582
1713660137.8531632,53.069
1713660138.8992112,53.069
1713660139.9486003,53.069
1713660140.994674,53.069
1713660142.0390599,52.095
1713660143.0900106,53.556
1713660144.1347837,53.069
1713660145.1837637,53.556
1713660146.2276194,53.069
1713660147.2718582,53.069
1713660148.3183308,53.069
1713660149.3665187,54.043
1713660150.407044,52.582
1713660151.4570003,54.043
1713660152.499181,54.043
