Timestamp,SoC Temperature (C)
1713668587.192416,51.121
1713668588.2355044,54.043
1713668589.2778485,53.556
1713668590.3198993,54.53
1713668591.3626304,53.069
1713668592.4064248,54.53
1713668593.4542053,54.53
1713668594.4980633,54.53
1713668595.5455596,55.504
1713668596.6187918,55.504
1713668597.6646562,55.991
1713668598.7123768,55.504
1713668599.7509167,56.965
1713668600.7929444,56.478
1713668601.8365142,55.504
1713668602.8900208,55.504
1713668603.9310665,55.991
1713668604.9789112,56.965
1713668606.0427594,56.478
1713668607.0866873,55.991
1713668608.1290338,56.478
1713668609.1701694,55.991
1713668610.2116628,56.965
1713668611.2543635,56.965
1713668612.297982,56.965
1713668613.3475618,56.965
1713668614.3956141,56.478
1713668615.4459743,57.452
1713668616.4866903,57.939
1713668617.5315518,57.452
1713668618.5718472,57.939
1713668619.6161563,57.452
1713668620.6606476,57.939
1713668621.7059224,57.452
1713668622.759168,57.452
1713668623.8075955,57.452
1713668624.856101,57.452
1713668625.897226,57.939
1713668626.93783,57.939
1713668627.9819953,58.426
1713668629.0258188,58.426
1713668630.0704126,59.4
1713668631.1143057,57.939
1713668632.1631756,58.426
1713668633.2090013,57.452
1713668634.2583566,58.913
1713668635.3005722,57.452
1713668636.3421488,59.4
1713668637.385352,58.913
1713668638.429038,59.4
1713668639.475447,58.913
1713668640.520069,58.426
1713668641.5662606,58.913
1713668642.614506,59.4
1713668643.6612954,58.913
1713668644.7020447,59.4
1713668645.7481139,59.887
1713668646.7899742,60.374
1713668647.8329105,59.887
1713668648.876639,59.887
1713668649.9212263,59.4
1713668650.9686017,59.4
1713668652.0189102,59.4
1713668653.0706136,58.913
1713668654.112315,60.374
1713668655.155852,59.4
1713668656.201993,59.887
1713668657.2462223,59.4
1713668658.285547,60.374
1713668659.3300123,59.4
1713668660.379305,59.4
1713668661.4303164,60.861
1713668662.478218,60.374
1713668663.5267594,59.887
1713668664.5698612,59.887
1713668665.609342,60.374
1713668666.6542196,61.348
1713668667.698937,60.861
1713668668.742916,59.887
1713668669.7867203,60.374
1713668670.8363192,59.887
1713668671.8823678,60.861
1713668672.930224,60.374
1713668673.9741106,60.374
1713668675.0200522,60.861
1713668676.0590947,60.861
1713668677.1038024,61.348
1713668678.1486263,60.374
1713668679.1927273,59.887
1713668680.2390974,60.861
1713668681.2874467,59.887
1713668682.3381233,60.374
1713668683.3752708,61.348
1713668684.4198105,62.809
1713668685.4639158,60.861
1713668686.508534,59.887
1713668687.5529733,61.348
1713668688.5957205,60.861
1713668689.6418781,60.861
1713668690.6910071,61.348
1713668691.740345,61.348
1713668692.7770176,61.348
1713668693.818972,60.861
1713668694.8623989,61.348
1713668695.909051,61.835
1713668696.953885,60.861
1713668697.9993727,60.861
1713668699.0506282,61.835
1713668700.0978572,60.861
1713668701.1467557,61.835
1713668702.1879458,60.861
1713668703.2314568,61.835
1713668704.2729514,61.835
1713668705.3187919,61.835
1713668706.3626914,61.835
1713668707.410873,61.348
1713668708.4607198,61.348
1713668709.509053,61.835
1713668710.557952,61.835
1713668711.6030247,61.835
1713668712.642318,62.322
1713668713.6862633,61.835
1713668714.728944,61.835
1713668715.773057,61.835
1713668716.8174322,62.322
1713668717.8648858,62.322
1713668718.9091272,62.322
1713668719.9586918,61.835
1713668721.005318,61.835
1713668722.0454078,61.348
1713668723.0883029,61.835
1713668724.131936,63.296
1713668725.1757936,62.809
1713668726.2217262,61.835
1713668727.2703772,61.835
1713668728.3205914,61.835
1713668729.3666866,61.835
1713668730.4084332,62.809
1713668731.4510207,62.322
1713668732.4964728,62.322
1713668733.539264,62.322
1713668734.5853322,62.322
1713668735.6334095,61.835
1713668736.6818197,62.322
1713668737.731858,62.322
1713668738.7725244,62.809
1713668739.8170426,62.809
1713668740.8558905,62.322
1713668741.8979998,62.809
1713668742.9430115,62.809
1713668743.9871287,61.835
1713668745.038566,63.296
1713668746.085564,61.835
1713668747.1346827,61.835
1713668748.1758254,61.348
1713668749.2173376,62.809
1713668750.2604256,63.296
1713668751.3103685,63.296
1713668752.3537989,62.809
1713668753.4009848,62.322
1713668754.452362,62.322
1713668755.4983442,62.809
1713668756.537667,63.296
1713668757.58579,62.809
1713668758.6256826,62.809
1713668759.669065,62.809
1713668760.714691,62.809
1713668761.7596464,62.322
1713668762.8061438,62.809
1713668763.8533003,61.835
1713668764.9028888,64.27
1713668765.9461665,62.809
1713668766.9861543,62.809
1713668768.0286522,62.322
1713668769.0689752,62.809
1713668770.1127708,62.322
1713668771.153883,63.783
1713668772.197494,63.783
1713668773.2433708,63.783
1713668774.2956424,63.783
1713668775.3341703,63.783
1713668776.3783853,62.809
1713668777.4235485,63.783
1713668778.4656267,63.783
1713668779.5082958,63.783
1713668780.55671,62.809
1713668781.6031668,62.809
1713668782.6492507,63.296
1713668783.6994815,63.296
1713668784.7356932,62.809
1713668785.773716,63.783
1713668786.8190525,62.809
1713668787.8624642,63.296
1713668788.905323,63.296
1713668789.953471,63.296
1713668790.9997487,64.27
1713668792.0457726,63.296
1713668793.0944536,63.296
1713668794.1329463,63.296
1713668795.1731794,62.809
1713668796.2140133,64.27
1713668797.257862,63.296
1713668798.3008559,63.783
1713668799.3487017,62.322
1713668800.4003806,64.27
1713668801.438828,63.783
1713668802.4778833,63.783
1713668803.5240362,63.296
1713668804.5666099,64.757
1713668805.6122663,64.27
1713668806.660407,62.809
1713668807.7071645,63.296
1713668808.7533627,63.296
1713668809.7992153,63.296
1713668810.8424766,64.27
1713668811.887513,63.783
1713668812.9268122,63.783
1713668813.9735832,63.783
1713668815.0165226,62.809
1713668816.0686407,64.27
1713668817.1131556,64.757
1713668818.1624057,63.296
1713668819.2044024,63.296
1713668820.2465081,63.296
1713668821.2913792,64.27
1713668822.3332236,64.757
1713668823.3762178,63.296
1713668824.4203713,63.783
1713668825.4661865,63.783
1713668826.5164874,63.783
1713668827.5675817,64.27
1713668828.6160572,63.296
1713668829.6559534,64.27
1713668830.7004418,64.27
1713668831.7457519,64.757
1713668832.7846396,64.27
1713668833.8302424,63.783
1713668834.8750417,64.27
1713668835.9253123,63.783
1713668836.9714973,63.783
1713668838.0214813,64.27
1713668839.0641384,63.783
1713668840.1057324,64.757
1713668841.1474195,63.296
1713668842.190051,63.783
1713668843.2348404,64.757
1713668844.2777758,64.27
1713668845.3285277,64.27
1713668846.3727732,63.296
1713668847.422796,63.783
1713668848.4741344,63.783
1713668849.514622,63.296
1713668850.5554826,65.244
1713668851.59894,64.27
1713668852.6441905,64.757
1713668853.6878333,64.757
1713668854.7305703,63.783
1713668855.776406,64.27
1713668856.8266215,63.783
1713668857.8722525,64.757
