Model,Average Latency (s),Average FPS,AP,AP50,AP75,AP_small,AP_medium,AP_large,start_time,end_time,average_ambient_temp
EfficientDet,1.560,0.64,0.080,0.100,0.092,0.001,0.048,0.169,2024-04-20 20:40:33.008368,2024-04-20 23:00:49.744038,72.75660781841297
EfficientDet,1.117,0.90,0.080,0.100,0.092,0.001,0.048,0.169,2024-04-20 23:03:00.979029,2024-04-21 00:42:26.573886,71.08318254391008
EfficientDet,0.943,1.06,0.080,0.100,0.092,0.001,0.048,0.169,2024-04-21 00:44:37.490852,2024-04-21 02:08:06.795155,71.53406072105908
EfficientDet,0.940,1.06,0.080,0.100,0.092,0.001,0.048,0.169,2024-04-21 02:10:17.584874,2024-04-21 03:33:01.115396,70.74780114722877
